id,acronym,name_en,name_fr
124,,Research institutes,Institut de recherche
125,,Resource development,Exploitation des ressources
126,,Resources management,Gestion des ressources
127,,Rural communities,Communauté rurale
128,,Science policy,Politique scientifique
129,,Scientific information,Information scientifique
130,,Scientific research,Recherche scientifique
131,,Scientists,Scientifique
132,,Sector analysis,Analyse sectorielle
133,,Service industry,Industrie des services
134,,Site management,Gestion de site
135,,Social sciences,Sciences sociales
136,,Socioeconomic data,Données socio-économiques
137,,Soil,Sol
138,,Standards,Norme
139,,Statistical analysis,Analyse statistique
140,,Statistics,Statistiques
141,,Strategic management,Gestion stratégique
142,,Suppliers,Fournisseur
143,,Surveys,Sondage
144,sustforman,Sustainable development,Développement durable
145,,Tariff barriers,Barrière tarifaire
146,,Taxonomy,Taxonomie
147,,Technological innovation,Innovation technologique
148,,Technology,Technologie
149,,Technology transfer,Transfert technologique
150,,Terminology,Terminologie
151,,Terrestrial ecosystems,Écosystème terrestre
152,,Tools,Outil
153,,Trade,Commerce
154,,Trade policy,Politique commerciale
155,,Trees,Arbre
156,,Trends,Tendances
157,,Universities,Université
158,,Urban communities,Communauté urbaine
159,,Urban planning,Urbanisme
160,,Videorecordings,Enregistrement vidéo
161,,Water quality,Qualité de l'eau
162,,Watersheds,Bassin hydrologique
163,,Websites,Site Web
164,,Wetlands,Zone humide
165,,Wildlife,Faune
166,softlumb,Wood,Bois
